"","OBP","SLG","BA","Playoffs.x","BatAge","Num.Bat","Num.P","WAR","RA.G","ERA","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"1",0.328,0.418,0.259,0,28.3,48,23,5,4.25,3.93,3.81,1.29,9,1,2.6,7.5,2.88,6.62962962962963,104,0.240740740740741,0.0246913580246914,0.0555555555555556,0.0123456790123457,4.53086419753086,81
"2",0.32,0.389,0.247,1,28.5,41,21,6.1,3.7,3.42,3.74,1.227,8.2,0.9,2.9,7.7,2.66,6.51234567901235,117,0.290123456790123,0.0308641975308642,0.0987654320987654,0.0246913580246914,4.32098765432099,94
"3",0.311,0.417,0.247,1,28,52,26,3.8,4.35,3.9,4.2,1.291,8.7,1.1,2.9,7.1,2.45,6.93827160493827,109,0.339506172839506,0.00617283950617284,0.0617283950617284,0.00617283950617284,4.39506172839506,93
"4",0.315,0.415,0.26,0,29.4,56,26,5.1,4.98,4.7,4.41,1.371,9,1.2,3.3,7.3,2.22,6.62962962962963,90,0.216049382716049,0.037037037037037,0.0246913580246914,0.0123456790123457,4.53086419753086,69
"5",0.302,0.378,0.24,0,27.8,53,30,4.6,4.69,4.51,4.46,1.395,8.9,1.1,3.6,7.2,1.97,7.03703703703704,91,0.172839506172839,0.00617283950617284,0.0555555555555556,0,3.78395061728395,61
"6",0.318,0.422,0.255,0,29.9,45,25,5.9,4.17,4.02,4.23,1.292,8.5,1.2,3.1,7.8,2.48,6.69753086419753,106,0.228395061728395,0.037037037037037,0.0679012345679012,0.0123456790123457,4.61728395061728,85
"7",0.315,0.411,0.251,1,28.8,38,17,5.9,3.63,3.34,3.72,1.227,8.4,0.9,2.6,7.7,2.92,6.84567901234568,123,0.345679012345679,0.0555555555555556,0.0740740740740741,0.0123456790123457,4.12962962962963,97
"8",0.324,0.381,0.251,0,27.8,48,24,4,5.22,4.78,4.4,1.419,9.4,1.1,3.4,6.8,2,6.8641975308642,82,0.265432098765432,0.0123456790123457,0.037037037037037,0.00617283950617284,4.11728395061728,68
"9",0.33,0.436,0.274,0,28.1,49,27,2.8,5.49,5.22,4.59,1.549,10.4,1.3,3.6,7.2,2.02,7.58024691358025,89,0.222222222222222,0,0.0432098765432099,0,4.67901234567901,64
"10",0.335,0.422,0.268,1,28,47,23,7.7,4.14,3.75,3.63,1.291,8.9,0.9,2.8,8.3,3.01,6.68518518518519,113,0.246913580246914,0.0555555555555556,0.0493827160493827,0.0185185185185185,4.48148148148148,88
"11",0.302,0.371,0.236,0,26.6,50,26,3,4.9,4.56,4.27,1.428,9.4,1.1,3.4,7.4,2.17,7.24691358024691,89,0.191358024691358,0.0185185185185185,0.0679012345679012,0.0123456790123457,3.59876543209877,55
"12",0.317,0.4,0.265,0,26.1,46,25,6.3,4.6,4.3,4.18,1.41,9.3,1,3.4,7.3,2.17,7.10493827160494,98,0.271604938271605,0.0123456790123457,0.0740740740740741,0.00617283950617284,4.17283950617284,72
