"Team","League","Year.x","RS","RA.x","W.x","OBP","SLG","BA","Playoffs.x","RankSeason","RankPlayoffs","G.x","OOBP","OSLG","Playoffs2","current.x","join_val","X.x","Rk","Year.y","Tm.x","Lg","G.y","W.y","L.x","Ties","W.L..x","pythW.L.","Finish","GB","Playoffs.y","R.x","RA.y","Attendance","BatAge","PAge.x","Num.Bat","Num.P","Top.Player","Managers","current.y","WAR","Abv","X.y","Tm.y","X.P","PAge.y","RA.G","W","L.y","W.L..y","ERA","G","GS","GF","CG","tSho","cSho","SV","IP","H","R.y","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","ERA.","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","Year","current","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"ARI","NL",2012,734,688,81,0.328,0.418,0.259,0,NA,NA,162,0.317,0.415,"NO","ARI","ARI - 2012",5,5,2012,"Arizona Diamondbacks","NL West",162,81,81,0,0.5,0.53,"3rd of 5","13","",734,688,2177617,28.3,27.4,48,23,"A.Hill (5.0)","K.Gibson (81-81)","Arizona Diamondbacks",5,"ARI",1309,"ARI",23,27.4,4.25,81,81,0.5,3.93,162,162,158,4,9,2,39,1433.2,1432,688,626,155,417,18,1200,51,10,52,6063,104,3.81,1.29,9,1,2.6,7.5,2.88,6.62962962962963,2012,"ARI",104,0.240740740740741,0.0246913580246914,0.0555555555555556,0.0123456790123457,4.53086419753086,81
"ATL","NL",2012,700,600,94,0.32,0.389,0.247,1,4,5,162,0.306,0.378,"YES","ATL","ATL - 2012",24,5,2012,"Atlanta Braves","NL East",162,94,68,0,0.58,0.57,"2nd of 5","4","Lost NLWC (1-0)",700,600,2420171,28.5,27.6,41,21,"M.Bourn (6.1)","F.Gonzalez (94-68)","Atlanta Braves",6.1,"ATL",1310,"ATL",21,27.6,3.7,94,68,0.58,3.42,162,162,157,5,16,4,47,1445.1,1310,600,549,145,464,40,1232,41,3,54,5991,117,3.74,1.227,8.2,0.9,2.9,7.7,2.66,6.51234567901235,2012,"ATL",117,0.290123456790123,0.0308641975308642,0.0987654320987654,0.0246913580246914,4.32098765432099,94
"BAL","AL",2012,712,705,93,0.311,0.417,0.247,1,5,4,162,0.315,0.403,"YES","BAL","BAL - 2012",165,5,2012,"Baltimore Orioles","AL East",162,93,69,0,0.574,0.505,"2nd of 5","2","Lost LDS (3-2)",712,705,2102240,28,27.6,52,26,"A.Jones (3.8)","B.Showalter (93-69)","Baltimore Orioles",3.8,"BAL",1311,"BAL",26,27.6,4.35,93,69,0.574,3.9,162,162,161,1,10,1,55,1483,1433,705,642,184,481,36,1177,53,6,34,6278,109,4.2,1.291,8.7,1.1,2.9,7.1,2.45,6.93827160493827,2012,"BAL",109,0.339506172839506,0.00617283950617284,0.0617283950617284,0.00617283950617284,4.39506172839506,93
"BOS","AL",2012,734,806,69,0.315,0.415,0.26,0,NA,NA,162,0.331,0.428,"NO","BOS","BOS - 2012",281,5,2012,"Boston Red Sox","AL East",162,69,93,0,0.426,0.457,"5th of 5","26","",734,806,3043003,29.4,28.7,56,26,"D.Pedroia (5.1)","B.Valentine (69-93)","Boston Red Sox",5.1,"BOS",1312,"BOS",26,28.7,4.98,69,93,0.426,4.7,162,162,156,6,4,2,35,1443,1449,806,754,190,529,33,1176,66,11,42,6209,90,4.41,1.371,9,1.2,3.3,7.3,2.22,6.62962962962963,2012,"BOS",90,0.216049382716049,0.037037037037037,0.0246913580246914,0.0123456790123457,4.53086419753086,69
"CHC","NL",2012,613,759,61,0.302,0.378,0.24,0,NA,NA,162,0.335,0.424,"NO","CHC","CHC - 2012",397,5,2012,"Chicago Cubs","NL Central",162,61,101,0,0.377,0.403,"5th of 6","36","",613,759,2882756,27.8,27.9,53,30,"D.Barney (4.6)","D.Sveum (61-101)","Chicago Cubs",4.6,"CHC",1313,"CHC",30,27.9,4.69,61,101,0.377,4.51,162,162,161,1,9,0,28,1413.2,1399,759,708,175,573,36,1128,65,5,44,6140,91,4.46,1.395,8.9,1.1,3.6,7.2,1.97,7.03703703703704,2012,"CHC",91,0.172839506172839,0.00617283950617284,0.0555555555555556,0,3.78395061728395,61
"CHW","AL",2012,748,676,85,0.318,0.422,0.255,0,NA,NA,162,0.319,0.405,"NO","CHW","CHW - 2012",538,5,2012,"Chicago White Sox","AL Central",162,85,77,0,0.525,0.546,"2nd of 5","3","",748,676,1965955,29.9,27.5,45,25,"C.Sale (5.9)","R.Ventura (85-77)","Chicago White Sox",5.9,"CHW",1314,"CHW",25,27.5,4.17,85,77,0.525,4.02,162,162,156,6,11,2,37,1445.2,1365,676,646,186,503,29,1246,68,9,66,6098,106,4.23,1.292,8.5,1.2,3.1,7.8,2.48,6.69753086419753,2012,"CHW",106,0.228395061728395,0.037037037037037,0.0679012345679012,0.0123456790123457,4.61728395061728,85
"CIN","NL",2012,669,588,97,0.315,0.411,0.251,1,2,4,162,0.305,0.39,"YES","CIN","CIN - 2012",654,5,2012,"Cincinnati Reds","NL Central",162,97,65,0,0.599,0.559,"1st of 6","--","Lost LDS (3-2)",669,588,2347251,28.8,27.1,38,17,"J.Votto (5.9)","D.Baker (97-65)","Cincinnati Reds",5.9,"CIN",1315,"CIN",17,27.1,3.63,97,65,0.599,3.34,162,162,153,9,12,2,56,1453,1356,588,540,152,427,33,1248,51,7,34,6056,123,3.72,1.227,8.4,0.9,2.6,7.7,2.92,6.84567901234568,2012,"CIN",123,0.345679012345679,0.0555555555555556,0.0740740740740741,0.0123456790123457,4.12962962962963,97
"CLE","AL",2012,667,845,68,0.324,0.381,0.251,0,NA,NA,162,0.336,0.43,"NO","CLE","CLE - 2012",789,5,2012,"Cleveland Indians","AL Central",162,68,94,0,0.42,0.393,"4th of 5","20","",667,845,1603596,27.8,27.6,48,24,"C.Santana (4.0)","M.Acta (65-91) and S.Alomar (3-3)","Cleveland Indians",4,"CLE",1316,"CLE",24,27.6,5.22,68,94,0.42,4.78,162,162,160,2,6,1,43,1442,1503,845,766,174,543,27,1086,55,6,67,6283,82,4.4,1.419,9.4,1.1,3.4,6.8,2,6.8641975308642,2012,"CLE",82,0.265432098765432,0.0123456790123457,0.037037037037037,0.00617283950617284,4.11728395061728,68
"COL","NL",2012,758,890,64,0.33,0.436,0.274,0,NA,NA,162,0.357,0.47,"NO","COL","COL - 2012",905,5,2012,"Colorado Rockies","NL West",162,64,98,0,0.395,0.427,"5th of 5","30","",758,890,2630458,28.1,28.2,49,27,"D.Fowler (2.8)","J.Tracy (64-98)","Colorado Rockies",2.8,"COL",1317,"COL",27,28.2,5.49,64,98,0.395,5.22,162,162,162,0,7,0,36,1422,1637,890,824,198,566,61,1144,47,6,94,6384,89,4.59,1.549,10.4,1.3,3.6,7.2,2.02,7.58024691358025,2012,"COL",89,0.222222222222222,0,0.0432098765432099,0,4.67901234567901,64
"DET","AL",2012,726,670,88,0.335,0.422,0.268,1,6,2,162,0.314,0.402,"YES","DET","DET - 2012",929,5,2012,"Detroit Tigers","AL Central",162,88,74,0,0.543,0.537,"1st of 5","--","Lost WS (4-0)",726,670,3028033,28,28.2,47,23,"J.Verlander (7.7)","J.Leyland (88-74)","Detroit Tigers",7.7,"DET",1318,"DET",23,28.2,4.14,88,74,0.543,3.75,162,162,153,9,8,3,40,1430.2,1409,670,596,151,438,35,1318,42,6,46,6045,113,3.63,1.291,8.9,0.9,2.8,8.3,3.01,6.68518518518519,2012,"DET",113,0.246913580246914,0.0555555555555556,0.0493827160493827,0.0185185185185185,4.48148148148148,88
